* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 4128 
v 0.0475791 0.777778 0.222222
v 0.111111 0.830626 0.222222
v 0.111111 0.789674 0.333333
v 0.0935896 0.777778 0.333333
v 0.111111 0.777778 0.353871
v 0.111111 0.888889 0.430477
v 0.111111 0.865135 0.444444
v 0.0921605 0.888889 0.444444
v 0.111111 0.865135 0.444444
v 0.111111 0.888889 0.462275
v 0.0921605 0.888889 0.444444
v 0.10508 0.888889 0.666667
v 0.111111 0.777778 0.659459
v 0.105887 0.777778 0.666667
v 0.111111 0.888889 0.658657
v 0.111111 0.777778 0.659459
v 0.10508 0.888889 0.666667
v 0 0.883738 0.777778
v 0 0.888889 0.771747
v 0.0608507 0.888889 0.777778
v 0.10678 0.777778 0.777778
v 0.111111 0.833617 0.777778
v 0.10508 0.888889 0.666667
v 0.10678 0.777778 0.777778
v 0.10508 0.888889 0.666667
v 0.105887 0.777778 0.666667
v 0.10508 0.888889 0.666667
v 0.111111 0.833617 0.777778
v 0.111111 0.888889 0.727517
v 0.10678 0.777778 0.777778
v 0.111111 0.777778 0.782108
v 0.111111 0.833617 0.777778
v 0 0.883738 0.777778
v 0.0608507 0.888889 0.777778
v 0 0.888889 0.781978
v 0.111111 0.996111 0.111111
v 0.107199 1 0.111111
v 0.111111 1 0.108868
v 0.107199 1 0.111111
v 0.111111 0.996111 0.111111
v 0.111111 1 0.112816
v 0 1 0.199072
v 0.0112256 1 0.222222
v 0.111111 0.888889 0.18954
v 0 1 0.199072
v 0.111111 0.888889 0.18954
v 0 0.888889 0.190194
v 0.111111 0.888889 0.18954
v 0.0112256 1 0.222222
v 0.111111 0.905762 0.222222
v 0 0.997074 0.333333
v 0 0.888889 0.241856
v 0.111111 0.888889 0.244161
v 0 0.997074 0.333333
v 0.111111 0.888889 0.244161
v 0.0112256 1 0.222222
v 0 0.997074 0.333333
v 0.0112256 1 0.222222
v 0.00208911 1 0.333333
v 0.111111 0.905762 0.222222
v 0.0112256 1 0.222222
v 0.111111 0.888889 0.244161
v 0.0696367 1 0.444444
v 0.111111 0.888889 0.430477
v 0.0921605 0.888889 0.444444
v 0.0696367 1 0.444444
v 0.111111 1 0.412211
v 0.111111 0.888889 0.430477
v 0.00208911 1 0.333333
v 0 1 0.336352
v 0 0.997074 0.333333
v 0.111111 0.937871 0.555556
v 0.0921605 0.888889 0.444444
v 0.111111 0.888889 0.462275
v 0.111111 0.937871 0.555556
v 0.0523213 1 0.555556
v 0.0921605 0.888889 0.444444
v 0.0523213 1 0.555556
v 0.0696367 1 0.444444
v 0.0921605 0.888889 0.444444
v 0.111111 0.888889 0.658657
v 0.0523213 1 0.555556
v 0.111111 0.937871 0.555556
v 0.111111 0.888889 0.658657
v 0.10508 0.888889 0.666667
v 0.0523213 1 0.555556
v 0.10508 0.888889 0.666667
v 0.104423 1 0.666667
v 0.0523213 1 0.555556
v 0.10508 0.888889 0.666667
v 0.111111 0.888889 0.727517
v 0.104423 1 0.666667
v 0.104423 1 0.666667
v 0.111111 0.888889 0.727517
v 0.111111 1 0.703285
v 0.0608507 0.888889 0.777778
v 0 0.888889 0.771747
v 0 1 0.771089
v 0.0608507 0.888889 0.777778
v 0 1 0.771089
v 0.0366179 1 0.777778
v 0 0.888889 0.781978
v 0.0366179 1 0.777778
v 0 1 0.817465
v 0.0608507 0.888889 0.777778
v 0.0366179 1 0.777778
v 0 0.888889 0.781978
v 0.222222 0.111111 0.0816288
v 0.222222 0.0623028 0.111111
v 0.191382 0.111111 0.111111
v 0.222222 0 0.00948063
v 0.222222 0.00458158 0
v 0.141926 0 0.111111
v 0.222222 0.00458158 0
v 0.111111 0.0175998 0.111111
v 0.141926 0 0.111111
v 0.222222 0.00458158 0
v 0.111111 0.0390248 0
v 0.111111 0.0175998 0.111111
v 0.111111 0 0.191127
v 0.141926 0 0.111111
v 0.111111 0.0175998 0.111111
v 0.111111 0.0153391 0.222222
v 0.111111 0.111111 0.187389
v 0.222222 0.0623028 0.111111
v 0.111111 0.0153391 0.222222
v 0.222222 0.0623028 0.111111
v 0.222222 0.100072 0.222222
v 0.222222 0.0623028 0.111111
v 0.111111 0.111111 0.187389
v 0.191382 0.111111 0.111111
v 0.222222 0.100072 0.222222
v 0.111111 0.111111 0.324097
v 0.111111 0.0153391 0.222222
v 0.222222 0.111111 0.233029
v 0.111111 0.111111 0.324097
v 0.222222 0.100072 0.222222
v 0.222222 0.0489648 0.444444
v 0.146224 0.111111 0.444444
v 0.222222 0.111111 0.383119
v 0.222222 0.0489648 0.444444
v 0.222222 0.111111 0.485318
v 0.146224 0.111111 0.444444
v 0.215341 0.111111 1
v 0.222222 0 0.933152
v 0.170035 0 1
v 0.222222 0.111111 0.989975
v 0.222222 0 0.933152
v 0.215341 0.111111 1
v 0.222222 0.111111 0.0816288
v 0.191382 0.111111 0.111111
v 0.222222 0.183655 0.111111
v 0.222222 0.163927 0
v 0.222222 0.222222 0.094646
v 0.160581 0.222222 0
v 0.222222 0.183655 0.111111
v 0.185845 0.222222 0.222222
v 0.222222 0.222222 0.146377
v 0.191382 0.111111 0.111111
v 0.185845 0.222222 0.222222
v 0.222222 0.183655 0.111111
v 0.191382 0.111111 0.111111
v 0.111111 0.148443 0.222222
v 0.185845 0.222222 0.222222
v 0.191382 0.111111 0.111111
v 0.111111 0.111111 0.187389
v 0.111111 0.148443 0.222222
v 0.111111 0.148443 0.222222
v 0.149556 0.222222 0.333333
v 0.185845 0.222222 0.222222
v 0.111111 0.148443 0.222222
v 0.222222 0.111111 0.233029
v 0.149556 0.222222 0.333333
v 0.111111 0.148443 0.222222
v 0.111111 0.111111 0.324097
v 0.222222 0.111111 0.233029
v 0.222222 0.111111 0.233029
v 0.222222 0.144601 0.333333
v 0.149556 0.222222 0.333333
